"MapPointData","Value","Note"
"Title_Main","Noqkuq yhumwang má é yhum pé",
"Temple_TowerAntonia","Anhtonia é machya",
"Temple_CourtGentiles","Tungbaù pé nyì jowò",
"Temple_CourtIsrael","Israelaq byu pé nyì jowò",
"Temple_CourtWomen","Myiwe wuì nyì jowò",
"Temple_CourtPriests","Hkyangjông pé nyì jowò",
"Temple_HolyHolies","Chyoiyúng htâng é jowò",
"Temple_Altar","Kyaugyap",
"Temple_SolomonsPortico","Sholumon é jirop",
