"MapPointData","Value","Notes"
"Title_Main",,
"Continent_NorthAmerica","North America",
"Continent_SouthAmerica","South America",
"Continent_Europe","Europe",
"Continent_Africa","Africa",
"Continent_Asia","Asia",
"Continent_Australia","Australia",
"Ocean_Pacific","Pacific Ocean",
"Ocean_Atlantic","Atlantic Ocean",
"Ocean_Indian","Indian Ocean",
